structure,remark,pos
"posteriors","","p"
"postorbit","","s"
"postorbital","","s"
"postorbitals","","p"
"postpelvic","","s"
"postpetiole","","s"
"posttemporal","","s"
"postzygapophyse","","s"
"postzygapophyses","","p"
"post_anal","","s"
"post_fold","","s"
"post_spine","","s"
"pouch","","s"
"pouches","","p"
"precaudal","","s"
"precaudals","","p"
"precursor","","s"
"precursors","","p"
"premaxilla","","s"
"premaxillae","","p"
"premaxillaries","","p"
"prenarial","","s"
"preopercle","","s"
"preoperculomandibular","","s"
"preoperculomandibulars","","p"
"preoral","","s"
"prepectoral","","s"
"prezygapophyse","","s"
"prezygapophyses","","p"
"pre_anus","","s"
"pre_spine","","s"
"pre_sting","","s"
"pre_vent","","s"
"prickle","","s"
"prickles","","p"
"process","","s"
"processes","","p"
"projection","","s"
"projections","","p"
"prolongation","","s"
"prolongations","","p"
"promesonotum","","s"
"propodeum","","s"
"propterygial","","s"
"propterygials","","p"
"propterygium","","s"
"protrusion","","s"
"protrusions","","p"
"province","","s"
"provinces","","p"
"pseudobranch","","s"
"pseudobranchia","","p"
"pseudobranchiae","","p"
"pseudopera","","s"
"pseudorhipidion","","s"
"pseudosiphon","","s"
"pteroticsupracleithrum_posttemporal","","s"
"pterygiophore","","s"
"pterygiophores","","p"
"pterygoid","","s"
"pterygoids","","p"
"ptychochromoide","","s"
"ptychochromoides","","p"
"puerzli","","p"
"puerzlus","","s"
"pulse","","s"
"pulses","","p"
"punctate","","s"
"puncture","","s"
"punctures","","p"
"pupil","","s"
"pupils","","p"
"quarters","","p"
"radial","","s"
"radials","","p"
"radii","","p"
"radius","","s"
"raker","","s"
"rakers","","p"
"ray","","s"
"rays","","p"
"raysi","","p"
"raysii","","p"
"raysius","","s"
"raysus","","s"
"reef","","s"
"reefs","","p"
"reflection","","s"
"reflections","","p"
"region","","s"
"regions","","p"
"reticulation","","s"
"reticulations","","p"
"retroarticular","","s"
"rhabdaleste","","s"
"rhabdalestes","","p"
"rhipidion","","s"
"rib","","s"
"ribs","","p"
"rictus","","s"
"ridge","","s"
"ridges","","p"
"rim","","s"
"rims","","p"
"ring","","s"
"rings","","p"
"root","","s"
"roots","","p"
"rosette","","s"
"rosettes","","p"
"row","","s"
"roxa","","p"
"roxas","","p"
"rudiment","","s"
"rudiments","","p"
"ruga","","s"
"rugae","","p"
"ruginode","","s"
"ruginodi","","s"
"ruginodis","","p"
"saddle","","s"
"saddlemark","","s"
"saddlemarks","","p"
"saddles","","s"
"saf","","s"
"sagitta","","s"
"saliencies","","p"
"saliency","","s"
"santschi","","p"
"santschus","","s"
"savoryi","","p"
"savoryus","","s"
"scale","","s"
"scales","","p"
"scape","","s"
"scapes","","p"
"scapula","","s"
"scapular","","s"
"scapulars","","p"
"scar","","s"
"scars","","p"
"score","","s"
"scores","","p"
"scrobe","","s"
"scrobes","","p"
