"taxon","16S rRNA accession #","Family","Genus","Species","Strain","Genome size","%G+C","Other genetic characteristics","Cell shape","Pigments","Cell wall","Motility","Biofilm formation","Habitat isolated from","Oxygen use","Salinity preference","pH minimum","pH optimum","pH maximum","Temperature minimum","Temperature optimum","Temperature maximum","NaCl minimum","NaCl optimum","NaCl maximum","Host","Symbiotic","Pathogenic","Disease caused","Metabolism (energy & carbon source)","Mono & di-saccharides","Polysaccharides","Amino acids","Alcohols","Fatty acids","Other energy or carbon sources","Fermentation products","Polyalkanoates (plastics)","Other metabolic product","Antibiotic sensitivity","Antibiotic resistant","Cell Size"
"Methanococcoides_alaskense","","","","","","","","","singly,cocci,irregular","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cyanothece.sp.PCC8801","","","","","","","","","cylindrical,oval","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Methanogenium_aggregans","","","","","","","52","","singly,cocci,aggregates,irregular","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Natrialba_aegyptiaca","","","","","","","","","pleomorphic,cocci,tetrads,rods","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Synechococcus.sp.WH8102","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mesoplasma_coleopterae","","","","","","","27.7","","coccoid","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Halorubrum_trapanicum","","","","","","","64.3","","pleomorphic,rods","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Acholeplasma_laidlawii","","","","","","","31.7-35","","coccoid,filaments,branched","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Halonotius_pteroides","","","","","","","","","flat,flattened,long,rods","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Methanolobus_zinderi","","","","","","","","","irregular","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Spiroplasma_diabroticae","","","","","","","25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Halorubrum_luteum","","","","","","","60.2","","pleomorphic","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Therrnocladium_modestius","","","","","","","52","","rod-shaped,chains","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cyanothece.sp.ATCC51472","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Methanoculleus_oldenburgensis","","","","","","","48.6","","pairs,singly,cocci,irregular","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Methanofollis_aquaemaris","","","","","","","","","coccoid","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Methanogenium_organophilum","","","","","","","46.7","","coccoid,,irregular","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Acidiplasma_aeolicum","","","","","","","36","","filamentous","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Arthrospira.maxima.CS-328","","","","","","","","","filaments","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Methanobacterium_bryantii","","","","","","","","","filaments,chains,cylindrical,long","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Methanobacterium_arbophilicum","","","","","","","","","pairs,rods,,singly,chains,rods","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Limnothrix_redekei","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Microcystis.aeruginosa.PCC7806","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ureaplasma_canigenitalium","","","","","","","28.7","","pleomorphic","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
